kind,episode,loss,policy_loss,value_loss,entropy,steps,eps,hpwl_end,illegal_actions,avg_candidates,avg_type_filtered_ratio,time_sec
full,24,11782711.875000,0.000000,11782711.875000,0.000015,256,0.1275,27914.089992,0.00,32.00,0.0002,11.725259
full,25,11787401.125000,-0.000000,11787401.125000,0.000013,256,0.1200,27914.089992,0.00,32.00,0.0002,12.066231
full,26,11785019.250000,-0.000000,11785019.250000,0.000011,256,0.1125,27914.089992,0.00,32.00,0.0002,11.718613
full,27,11752089.000000,0.000000,11752089.000000,0.000010,256,0.1050,27914.089992,0.00,32.00,0.0002,11.934169
full,28,11731137.750000,0.000000,11731137.750000,0.000009,256,0.0975,27914.089992,0.00,32.00,0.0002,11.655592
full,29,11719330.500000,-0.000000,11719330.500000,0.000009,256,0.0900,27914.089992,0.00,32.00,0.0002,11.695430
full,30,11697502.125000,0.000000,11697502.125000,0.000008,256,0.0825,27914.089992,0.00,32.00,0.0002,11.685660
full,31,11653804.250000,-0.000000,11653804.250000,0.000007,256,0.0750,27914.089992,0.00,32.00,0.0002,11.948774
full,32,11598104.125000,-0.000000,11598104.125000,0.000007,256,0.0675,27914.089992,0.00,32.00,0.0002,11.676963
full,33,11544618.250000,-0.000000,11544618.250000,0.000006,256,0.0600,27914.089992,0.00,32.00,0.0002,11.732625
full,34,11501499.625000,0.000000,11501499.625000,0.000006,256,0.0525,27914.089992,0.00,32.00,0.0002,11.823582
full,35,11448271.250000,-0.000000,11448271.250000,0.000006,256,0.0450,27914.089992,0.00,32.00,0.0002,11.690919
full,36,11403131.250000,-0.000000,11403131.250000,0.000005,256,0.0375,27914.089992,0.00,32.00,0.0002,11.742847
full,37,11355577.625000,0.000000,11355577.625000,0.000005,256,0.0300,27914.089992,0.00,32.00,0.0002,11.625810
full,38,11311965.500000,-0.000000,11311965.500000,0.000005,256,0.0225,27914.089992,0.00,32.00,0.0002,11.666350
full,39,11263412.750000,-0.000000,11263412.750000,0.000005,256,0.0200,27914.089992,0.00,32.00,0.0002,11.568631
full,40,11221659.875000,-0.000000,11221659.875000,0.000005,256,0.0200,27914.089992,0.00,32.00,0.0002,11.559162
full,1,13307047.781250,0.000000,13307047.781250,0.000002,512,0.3000,52372.889972,0.00,32.00,0.0002,28.919366
full,2,13066576.125000,0.000000,13066576.125000,0.000002,512,0.2925,52372.889972,0.00,32.00,0.0002,28.984609
full,3,12884031.078125,-0.000000,12884031.093750,0.000001,512,0.2850,52372.889972,0.00,32.00,0.0002,28.757394
full,4,12664142.062500,0.000000,12664142.062500,0.000001,512,0.2775,52372.889972,0.00,32.00,0.0002,28.838918
full,5,12454685.500000,0.000000,12454685.500000,0.000001,512,0.2700,52372.889972,0.00,32.00,0.0002,29.109691
full,6,12307771.937500,-0.000000,12307771.937500,0.000001,512,0.2625,52372.889972,0.00,32.00,0.0002,29.793716
full,7,12178547.125000,0.000000,12178547.125000,0.000000,512,0.2550,52372.889972,0.00,32.00,0.0002,29.122714
full,8,12130764.812500,0.000000,12130764.812500,0.000000,512,0.2475,52372.889972,0.00,32.00,0.0002,30.493521
full,9,12068150.187500,-0.000000,12068150.187500,0.000000,512,0.2400,52372.889972,0.00,32.00,0.0002,30.244060
full,10,12027601.437500,0.000000,12027601.437500,0.000000,512,0.2325,52372.889972,0.00,32.00,0.0002,30.017668
full,11,11939399.656250,-0.000000,11939399.656250,0.000000,512,0.2250,52372.889972,0.00,32.00,0.0002,30.309958
full,12,11844863.250000,0.000000,11844863.250000,0.000000,512,0.2175,52372.889972,0.00,32.00,0.0002,30.357315
full,13,11785792.531250,-0.000000,11785792.531250,0.000000,512,0.2100,52372.889972,0.00,32.00,0.0002,29.889305
full,14,11678722.000000,0.000000,11678722.000000,0.000000,512,0.2025,52372.889972,0.00,32.00,0.0002,30.789844
full,15,11638562.937500,-0.000000,11638562.937500,0.000000,512,0.1950,52372.889972,0.00,32.00,0.0002,30.340609
full,16,11579430.656250,0.000000,11579430.656250,0.000000,512,0.1875,52372.889972,0.00,32.00,0.0002,29.801807
full,17,11532762.687500,-0.000000,11532762.687500,0.000000,512,0.1800,52372.889972,0.00,32.00,0.0002,30.454532
full,18,11452019.937500,-0.000000,11452019.937500,0.000000,512,0.1725,52372.889972,0.00,32.00,0.0002,29.315302
full,19,11410598.031250,0.000000,11410598.031250,0.000000,512,0.1650,52372.889972,0.00,32.00,0.0002,29.615184
full,20,11375742.406250,0.000000,11375742.406250,0.000000,512,0.1575,52372.889972,0.00,32.00,0.0002,29.826121
full,21,11332918.125000,-0.000000,11332918.125000,0.000000,512,0.1500,52372.889972,0.00,32.00,0.0002,29.983398
full,22,11257191.750000,-0.000000,11257191.750000,0.000000,512,0.1425,52372.889972,0.00,32.00,0.0002,30.383739
full,23,11181377.468750,-0.000000,11181377.468750,0.000000,512,0.1350,52372.889972,0.00,32.00,0.0002,31.174953
full,24,11104028.343750,0.000000,11104028.343750,0.000001,512,0.1275,52372.889972,0.00,32.00,0.0002,30.365432
full,25,11044925.750000,-0.000000,11044925.750000,0.000001,512,0.1200,52372.889972,0.00,32.00,0.0002,29.464496
full,26,10942302.937500,0.000000,10942302.937500,0.000001,512,0.1125,52372.889972,0.00,32.00,0.0002,28.933010
full,27,10902947.312500,-0.000000,10902947.312500,0.000001,512,0.1050,52372.889972,0.00,32.00,0.0002,29.056352
full,28,10855158.000000,-0.000000,10855158.000000,0.000001,512,0.0975,52372.889972,0.00,32.00,0.0002,28.872169
full,29,10800916.062500,-0.000000,10800916.062500,0.000001,512,0.0900,52372.889972,0.00,32.00,0.0002,29.136046
full,30,10675037.281250,-0.000000,10675037.281250,0.000001,512,0.0825,52372.889972,0.00,32.00,0.0002,30.170859
full,31,10584334.937500,0.000000,10584334.937500,0.000001,512,0.0750,52372.889972,0.00,32.00,0.0002,29.724733
full,32,10506406.312500,-0.000000,10506406.312500,0.000001,512,0.0675,52372.889972,0.00,32.00,0.0002,29.957261
full,33,10453873.218750,-0.000000,10453873.218750,0.000001,512,0.0600,52372.889972,0.00,32.00,0.0002,29.306693
full,34,10354270.312500,-0.000000,10354270.312500,0.000001,512,0.0525,52372.889972,0.00,32.00,0.0002,29.788964
full,35,10261284.562500,0.000000,10261284.562500,0.000001,512,0.0450,52372.889972,0.00,32.00,0.0002,29.838180
full,36,10204914.562500,0.000000,10204914.562500,0.000001,512,0.0375,52372.889972,0.00,32.00,0.0002,29.128581
full,37,10150316.437500,0.000000,10150316.437500,0.000001,512,0.0300,52372.889972,0.00,32.00,0.0002,28.945576
full,38,10024810.093750,0.000000,10024810.093750,0.000001,512,0.0225,52372.889972,0.00,32.00,0.0002,29.257008
full,39,9968250.187500,-0.000000,9968250.187500,0.000001,512,0.0200,52372.889972,0.00,32.00,0.0002,29.341763
full,40,9872553.406250,0.000000,9872553.406250,0.000001,512,0.0200,52372.889972,0.00,32.00,0.0002,29.161362
