design,cooling_rate,moves_per_temp,p_refine,p_explore,refine_max_distance,W_initial,T_initial_raw,runtime_sec,hpwl,seed,dominated
6502,0.8,100,0.7,0.4,100.0,0.5,100,19.332595799991395,297749.9120357704,63,1
6502,0.8,100,0.7,0.4,100.0,0.3,auto,18.914115000050515,359731.4416137314,64,1
6502,0.8,100,0.7,0.4,100.0,0.3,50,17.685384600015823,283000.6228909111,65,1
6502,0.8,100,0.7,0.4,100.0,0.3,100,17.43320460000541,293597.58336921694,66,1
6502,0.8,100,0.6,0.3,50.0,0.5,auto,18.415918899991084,351055.84422712325,67,1
6502,0.8,100,0.6,0.3,50.0,0.5,50,19.595470500004012,281061.26320095063,68,1
6502,0.8,100,0.6,0.3,50.0,0.5,100,18.911429700034205,292577.18366603856,69,1
6502,0.8,100,0.6,0.3,50.0,0.3,auto,19.241887699987274,352334.28383222583,70,1
6502,0.8,100,0.6,0.3,50.0,0.3,50,18.81942469999194,281657.0227981186,71,1
6502,0.8,100,0.6,0.3,50.0,0.3,100,19.45573729998432,294594.40385896683,72,1
6502,0.8,100,0.6,0.3,100.0,0.5,auto,19.74376660003327,367668.1265165901,73,1
6502,0.8,100,0.6,0.3,100.0,0.5,50,16.619701599993277,278017.06256099703,74,1
6502,0.8,100,0.6,0.3,100.0,0.5,100,16.175982100015972,297021.3038673973,75,1
6502,0.8,100,0.6,0.3,100.0,0.3,auto,16.211899199988693,360971.9841431618,76,1
6502,0.8,100,0.6,0.3,100.0,0.3,50,16.019147699989844,280595.0841738701,77,1
6502,0.8,100,0.6,0.3,100.0,0.3,100,16.488752299977932,297019.2315844154,78,1
6502,0.8,100,0.6,0.4,50.0,0.5,auto,15.795628599997144,367767.443411541,79,1
6502,0.8,100,0.6,0.4,50.0,0.5,50,16.399455799954012,285484.1820693588,80,1
6502,0.8,100,0.6,0.4,50.0,0.5,100,16.6679376999964,294181.7629383278,81,1
6502,0.8,100,0.6,0.4,50.0,0.3,auto,15.712578599981498,345801.6437523079,82,1
6502,0.8,100,0.6,0.4,50.0,0.3,50,16.67833620001329,280549.2637241364,83,1
6502,0.8,100,0.6,0.4,50.0,0.3,100,17.080677800055128,294851.4632108689,84,1
6502,0.8,100,0.6,0.4,100.0,0.5,auto,15.822325200017076,378251.05400325777,85,1
6502,0.8,100,0.6,0.4,100.0,0.5,50,15.423177000018768,283396.3014645195,86,1
6502,0.8,100,0.6,0.4,100.0,0.5,100,15.203408300003503,293832.6829673958,87,1
6502,0.8,100,0.6,0.4,100.0,0.3,auto,15.325325100042392,365472.96529418946,88,1
6502,0.8,100,0.6,0.4,100.0,0.3,50,19.582572199986316,283486.4932638359,89,1
6502,0.8,100,0.6,0.4,100.0,0.3,100,18.575190700008534,295337.02526670456,90,1
6502,0.8,200,0.7,0.3,50.0,0.5,auto,18.039626700046938,349856.1233904839,91,1
6502,0.8,200,0.7,0.3,50.0,0.5,50,17.654046099982224,275490.1036594391,92,1
6502,0.8,200,0.7,0.3,50.0,0.5,100,18.372021400020458,291749.46317558293,93,1
6502,0.8,200,0.7,0.3,50.0,0.3,auto,19.112464700010605,345086.9660479546,94,1
6502,0.8,200,0.7,0.3,50.0,0.3,50,17.303976800001692,275584.2833811379,95,1
6502,0.8,200,0.7,0.3,50.0,0.3,100,17.0403110999614,286220.96312614443,96,1
6502,0.8,200,0.7,0.3,100.0,0.5,auto,17.207869500038214,357807.38331584935,97,1
6502,0.8,200,0.7,0.3,100.0,0.5,50,17.698935799999163,273527.9229205132,98,1
6502,0.8,200,0.7,0.3,100.0,0.5,100,18.44962420000229,289159.32351394655,99,1
6502,0.8,200,0.7,0.3,100.0,0.3,auto,18.232087199983653,360923.86372882844,100,1
6502,0.8,200,0.7,0.3,100.0,0.3,50,16.614917500002775,274805.62177019124,101,1
6502,0.8,200,0.7,0.3,100.0,0.3,100,16.928007900016382,285848.2034028244,102,1
6502,0.8,200,0.7,0.4,50.0,0.5,auto,17.42284859996289,359532.68396587373,103,1
6502,0.8,200,0.7,0.4,50.0,0.5,50,16.553801200003363,275611.08197202685,104,1
6502,0.8,200,0.7,0.4,50.0,0.5,100,16.981272400007583,285447.60364166263,105,1
6502,0.8,200,0.7,0.4,50.0,0.3,auto,16.800934099999722,346261.38482639316,106,1
