kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,47,1735.802002,,,,80,4448.340018,0.258463
swap,48,3847.556152,,,,80,4727.479996,0.265322
swap,49,769.946976,,,,80,4498.780010,0.260200
swap,50,1706.643677,,,,80,4459.720013,0.268137
swap,51,3180.129150,,,,80,4744.520020,0.239743
swap,52,2756.535034,,,,80,4693.280013,0.238961
swap,53,2456.951050,,,,80,4535.080008,0.268284
swap,54,2291.572571,,,,80,4515.200005,0.263460
swap,55,5565.079102,,,,80,4738.380001,0.265627
swap,56,3836.974121,,,,80,4371.900002,0.257816
swap,57,617.678314,,,,80,4596.940001,0.250380
swap,58,663.846283,,,,80,4553.420015,0.258232
swap,59,9017.895752,,,,80,4821.979998,0.279115
swap,60,1770.535675,,,,80,4436.680014,0.328287
swap,1,3524.670959,,,,80,5173.700006,0.285866
swap,2,4688.592163,,,,80,5232.319992,0.284503
swap,3,4687.311768,,,,80,5207.919987,0.303675
swap,4,3540.440796,,,,80,5098.279994,0.260753
swap,5,5864.077637,,,,80,5195.799985,0.275229
swap,6,880.225494,,,,80,5023.739994,0.292706
swap,7,3569.349670,,,,80,4967.319988,0.255677
swap,8,2010.629242,,,,80,4982.599995,0.242872
swap,9,8162.325195,,,,80,5368.380001,0.269289
swap,10,3466.184814,,,,80,5301.979988,0.256630
swap,11,663.338181,,,,80,4999.539989,0.263299
swap,12,1445.261322,,,,80,5166.219993,0.253288
swap,13,1193.198059,,,,80,5033.019987,0.282168
swap,14,1718.973846,,,,80,5087.799999,0.262900
swap,15,4052.660156,,,,80,5315.219981,0.253726
swap,16,1664.507385,,,,80,5044.299996,0.251926
swap,17,3423.245667,,,,80,4967.319988,0.232389
swap,18,3855.603394,,,,80,5071.479992,0.273686
swap,19,2390.062439,,,,80,5058.259990,0.255925
swap,20,3424.703186,,,,80,5304.339990,0.265819
swap,21,2904.074402,,,,80,5185.619989,0.268660
swap,22,944.324631,,,,80,5013.919998,0.265011
swap,23,3337.674011,,,,80,5019.879996,0.304289
swap,24,1693.729797,,,,80,4991.359992,0.293665
swap,25,2726.952271,,,,80,5236.319996,0.266622
swap,26,3697.589111,,,,80,5004.999988,0.265150
swap,27,2126.957275,,,,80,5206.039990,0.255438
swap,28,2076.943237,,,,80,4968.119995,0.260241
swap,29,11298.933594,,,,80,5520.359990,0.247490
swap,30,2390.798523,,,,80,4961.860002,0.244649
swap,31,735.668304,,,,80,4917.559997,0.244361
swap,32,4392.945190,,,,80,4996.379993,0.259425
swap,33,3845.811279,,,,80,5235.719982,0.283170
swap,34,9879.902344,,,,80,5383.979990,0.235157
swap,35,4492.701782,,,,80,5348.659997,0.243891
swap,36,3771.433167,,,,80,4949.399993,0.287409
swap,37,3238.806458,,,,80,5121.839996,0.273118
swap,38,6148.897217,,,,80,5350.919991,0.288305
swap,39,2666.899719,,,,80,4894.179983,0.260337
swap,40,607.293533,,,,80,5005.399993,0.264867
swap,41,8017.091675,,,,80,5183.779994,0.289707
swap,42,443.146034,,,,80,5016.679996,0.249726
swap,43,450.287361,,,,80,4952.859989,0.248501
swap,44,751.505341,,,,80,5022.519988,0.245466
swap,45,9669.681396,,,,80,5399.079994,0.266320
swap,46,1319.616699,,,,80,4917.959991,0.272515
swap,47,1246.668793,,,,80,4891.819991,0.284928
swap,48,682.050446,,,,80,4905.879989,0.254278
