cell_name,site_id,x_um,y_um,physical_cell_name,cell_type
$abc$155330$auto$blifparse.cc:396:parse_blif$159429,58926,397.8399963378906,369.4800109863281,T14Y33__R2_NAND_1,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159430,53745,449.3599853515625,339.55999755859375,T16Y30__R3_NAND_1,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159431,62345,341.260009765625,388.5199890136719,T12Y35__R1_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159432,49992,359.6600036621094,309.6400146484375,T12Y28__R0_OR_2,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159433,46527,366.1000061035156,293.32000732421875,T13Y26__R2_INV_1,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159434,49990,355.05999755859375,309.6400146484375,T12Y28__R0_OR_0,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159435,67631,357.3599853515625,418.44000244140625,T12Y38__R0_OR_1,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159436,51753,352.760009765625,320.5199890136719,T12Y29__R0_NAND_4,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159437,51761,341.260009765625,323.239990234375,T12Y29__R1_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159438,46832,552.8599853515625,293.32000732421875,T19Y26__R2_OR_4,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159439,51993,481.55999755859375,320.5199890136719,T17Y29__R0_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159440,50244,483.8599853515625,312.3599853515625,T17Y28__R1_NAND_2,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159441,50226,474.6600036621094,309.6400146484375,T17Y28__R0_NAND_0,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159442,43181,497.6600036621094,266.1199951171875,T17Y24__R0_OR_2,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159443,44942,490.760009765625,277.0,T17Y25__R0_NAND_4,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159444,41439,490.760009765625,260.67999267578125,T17Y23__R2_OR_1,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159445,65889,350.4599914550781,413.0,T12Y37__R2_OR_0,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159446,67654,352.760009765625,423.8800048828125,T12Y38__R2_OR_1,sky130_fd_sc_hd__or2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159447,67628,350.4599914550781,418.44000244140625,T12Y38__R0_NAND_3,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159448,67624,343.55999755859375,418.44000244140625,T12Y38__R0_INV_0,sky130_fd_sc_hd__clkinv_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159449,55574,516.0599975585938,342.2799987792969,T18Y31__R0_NAND_3,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159450,57331,502.260009765625,353.1600036621094,T18Y32__R0_NAND_0,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159451,59088,481.55999755859375,372.20001220703125,T17Y33__R3_NAND_3,sky130_fd_sc_hd__nand2_2
$abc$155330$auto$blifparse.cc:396:parse_blif$159452,48578,539.0599975585938,301.4800109863281,T19Y27__R1_NAND_2,sky130_fd_sc_hd__nand2_2
