cell_type,cell_name
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2188
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2189
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2190
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2191
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2192
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2193
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2194
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2195
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2196
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2197
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2198
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2199
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2200
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2201
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2202
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2203
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2204
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2205
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2206
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2207
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2208
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2209
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2210
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2211
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2212
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2213
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2214
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2215
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2216
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2217
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2218
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2219
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2220
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2221
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2222
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2223
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2224
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2225
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2226
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2227
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2228
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2229
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2230
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2231
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2232
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2233
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2234
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2235
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2236
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2237
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2238
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2239
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2240
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2241
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2242
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2243
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2244
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2245
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2246
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2247
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2248
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2249
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2250
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2251
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2252
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2253
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2254
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2255
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2256
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2257
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2258
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2259
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2260
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2261
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2262
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2263
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2264
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2265
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2266
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2267
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2268
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2269
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2270
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2271
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2272
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2273
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2274
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2275
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2276
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2277
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2278
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2279
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2280
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2281
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2282
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2283
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2284
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2285
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2286
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2287
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2288
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2289
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2290
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2291
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2292
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2293
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2294
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2295
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2296
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2297
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2298
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2299
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2300
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2301
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2302
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2303
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2304
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2305
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2306
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2307
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2308
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2309
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2310
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2311
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2312
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2313
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2314
