cell_name,cell_type,port,net_bit,net_name,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2394,sky130_fd_sc_hd__or2_2,X,420,$abc$2096$new_n353,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2395,sky130_fd_sc_hd__nand2_2,A,250,$abc$2096$new_n178,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2395,sky130_fd_sc_hd__nand2_2,B,420,$abc$2096$new_n353,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2395,sky130_fd_sc_hd__nand2_2,Y,421,$abc$2096$new_n354,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2396,sky130_fd_sc_hd__or2_2,A,419,$abc$2096$new_n352,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2396,sky130_fd_sc_hd__or2_2,B,421,$abc$2096$new_n354,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2396,sky130_fd_sc_hd__or2_2,X,422,$abc$2096$new_n355,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2397,sky130_fd_sc_hd__or2_2,A,135,$abc$2096$new_n66,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2397,sky130_fd_sc_hd__or2_2,B,385,$abc$2096$new_n317,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2397,sky130_fd_sc_hd__or2_2,X,423,$abc$2096$new_n356,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2398,sky130_fd_sc_hd__nand2_2,A,231,$abc$2096$new_n159,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2398,sky130_fd_sc_hd__nand2_2,B,423,$abc$2096$new_n356,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2398,sky130_fd_sc_hd__nand2_2,Y,424,$abc$2096$new_n357,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2399,sky130_fd_sc_hd__nand2_2,A,226,$abc$2096$new_n154,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2399,sky130_fd_sc_hd__nand2_2,B,389,$abc$2096$new_n321,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2399,sky130_fd_sc_hd__nand2_2,Y,425,$abc$2096$new_n358,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2400,sky130_fd_sc_hd__nand2_2,A,424,$abc$2096$new_n357,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2400,sky130_fd_sc_hd__nand2_2,B,425,$abc$2096$new_n358,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2400,sky130_fd_sc_hd__nand2_2,Y,426,$abc$2096$new_n359,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2401,sky130_fd_sc_hd__nand2_2,A,10,in_6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2401,sky130_fd_sc_hd__nand2_2,B,426,$abc$2096$new_n359,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2401,sky130_fd_sc_hd__nand2_2,Y,427,$abc$2096$new_n360,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2402,sky130_fd_sc_hd__or2_2,A,385,$abc$2096$new_n317,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2402,sky130_fd_sc_hd__or2_2,B,424,$abc$2096$new_n357,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2402,sky130_fd_sc_hd__or2_2,X,428,$abc$2096$new_n361,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2403,sky130_fd_sc_hd__or2_2,A,10,in_6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2403,sky130_fd_sc_hd__or2_2,B,389,$abc$2096$new_n321,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2403,sky130_fd_sc_hd__or2_2,X,429,$abc$2096$new_n362,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2404,sky130_fd_sc_hd__or2_2,A,225,$abc$2096$new_n153,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2404,sky130_fd_sc_hd__or2_2,B,429,$abc$2096$new_n362,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2404,sky130_fd_sc_hd__or2_2,X,430,$abc$2096$new_n363,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2405,sky130_fd_sc_hd__or2_2,A,18,in_14,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2405,sky130_fd_sc_hd__or2_2,B,10,in_6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2405,sky130_fd_sc_hd__or2_2,X,431,$abc$2096$new_n364,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2406,sky130_fd_sc_hd__nand2_2,A,18,in_14,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2406,sky130_fd_sc_hd__nand2_2,B,10,in_6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2406,sky130_fd_sc_hd__nand2_2,Y,432,$abc$2096$new_n365,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2407,sky130_fd_sc_hd__nand2_2,A,220,$abc$2096$new_n148,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2407,sky130_fd_sc_hd__nand2_2,B,409,$abc$2096$new_n342,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2407,sky130_fd_sc_hd__nand2_2,Y,433,$abc$2096$new_n366,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2408,sky130_fd_sc_hd__nand2_2,A,195,$abc$2096$new_n122,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2408,sky130_fd_sc_hd__nand2_2,B,431,$abc$2096$new_n364,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2408,sky130_fd_sc_hd__nand2_2,Y,434,$abc$2096$new_n367,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2409,sky130_fd_sc_hd__nand2_2,A,433,$abc$2096$new_n366,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2409,sky130_fd_sc_hd__nand2_2,B,434,$abc$2096$new_n367,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2409,sky130_fd_sc_hd__nand2_2,Y,435,$abc$2096$new_n368,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2410,sky130_fd_sc_hd__or2_2,A,205,$abc$2096$new_n132,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2410,sky130_fd_sc_hd__or2_2,B,432,$abc$2096$new_n365,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2410,sky130_fd_sc_hd__or2_2,X,436,$abc$2096$new_n369,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2411,sky130_fd_sc_hd__or2_2,A,10,in_6,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2411,sky130_fd_sc_hd__or2_2,B,209,$abc$2096$new_n137,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2411,sky130_fd_sc_hd__or2_2,X,437,$abc$2096$new_n370,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2412,sky130_fd_sc_hd__nand2_2,A,430,$abc$2096$new_n363,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2412,sky130_fd_sc_hd__nand2_2,B,436,$abc$2096$new_n369,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2412,sky130_fd_sc_hd__nand2_2,Y,438,$abc$2096$new_n371,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2413,sky130_fd_sc_hd__or2_2,A,435,$abc$2096$new_n368,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2413,sky130_fd_sc_hd__or2_2,B,438,$abc$2096$new_n371,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2413,sky130_fd_sc_hd__or2_2,X,439,$abc$2096$new_n372,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2414,sky130_fd_sc_hd__nand2_2,A,428,$abc$2096$new_n361,input
