cell_name,cell_type,port,net_bit,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2136,sky130_fd_sc_hd__clkinv_2,Y,167,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2137,sky130_fd_sc_hd__nand2_2,A,168,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2137,sky130_fd_sc_hd__nand2_2,B,165,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2137,sky130_fd_sc_hd__nand2_2,Y,169,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2138,sky130_fd_sc_hd__or2_2,A,168,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2138,sky130_fd_sc_hd__or2_2,B,165,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2138,sky130_fd_sc_hd__or2_2,X,170,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2139,sky130_fd_sc_hd__nand2_2,A,169,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2139,sky130_fd_sc_hd__nand2_2,B,170,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2139,sky130_fd_sc_hd__nand2_2,Y,171,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2140,sky130_fd_sc_hd__or2_2,A,110,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2140,sky130_fd_sc_hd__or2_2,B,161,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2140,sky130_fd_sc_hd__or2_2,X,172,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2141,sky130_fd_sc_hd__nand2_2,A,162,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2141,sky130_fd_sc_hd__nand2_2,B,172,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2141,sky130_fd_sc_hd__nand2_2,Y,173,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2142,sky130_fd_sc_hd__clkinv_2,A,173,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2142,sky130_fd_sc_hd__clkinv_2,Y,174,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2143,sky130_fd_sc_hd__or2_2,A,125,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2143,sky130_fd_sc_hd__or2_2,B,110,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2143,sky130_fd_sc_hd__or2_2,X,175,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2144,sky130_fd_sc_hd__nand2_2,A,164,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2144,sky130_fd_sc_hd__nand2_2,B,175,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2144,sky130_fd_sc_hd__nand2_2,Y,176,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2145,sky130_fd_sc_hd__or2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2145,sky130_fd_sc_hd__or2_2,B,111,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2145,sky130_fd_sc_hd__or2_2,X,177,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2146,sky130_fd_sc_hd__nand2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2146,sky130_fd_sc_hd__nand2_2,B,176,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2146,sky130_fd_sc_hd__nand2_2,Y,178,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2147,sky130_fd_sc_hd__nand2_2,A,177,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2147,sky130_fd_sc_hd__nand2_2,B,178,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2147,sky130_fd_sc_hd__nand2_2,Y,179,output
