cell_name,site_id,x_um,y_um
$auto$insbuf.cc:97:execute$11877,2939,678.44,25.04
$auto$insbuf.cc:97:execute$11878,73,33.6,10.44
$auto$insbuf.cc:97:execute$11879,3571,12.36,36.92
$auto$insbuf.cc:97:execute$11880,1787,20.64,19.6
$auto$insbuf.cc:97:execute$11881,96957,996.26,651.96
$auto$insbuf.cc:97:execute$11882,38,30.76,10.44
$auto$insbuf.cc:97:execute$11883,1800,26.16,22.32
$auto$insbuf.cc:97:execute$11884,49,33.6,5.0
$auto$insbuf.cc:97:execute$11885,2924,677.06,22.32
$auto$insbuf.cc:97:execute$11886,1786,19.26,19.6
$auto$insbuf.cc:97:execute$11889,37,28.46,10.44
$auto$insbuf.cc:97:execute$11892,4678,678.44,31.48
$auto$insbuf.cc:97:execute$11893,4662,676.6,28.76
$auto$insbuf.cc:97:execute$11894,3549,18.8,31.48
$auto$insbuf.cc:97:execute$11895,28,11.44,10.44
$auto$insbuf.cc:97:execute$11896,5136,920.66,36.92
$auto$insbuf.cc:97:execute$11897,4664,679.36,28.76
$auto$insbuf.cc:97:execute$11898,3537,21.56,28.76
$auto$insbuf.cc:97:execute$11899,3533,14.2,28.76
$auto$insbuf.cc:97:execute$11900,14153,7.76,108.2
$auto$insbuf.cc:97:execute$11901,1775,26.16,16.880000000000003
$auto$insbuf.cc:97:execute$11902,4660,672.0,28.76
$auto$insbuf.cc:97:execute$11903,4661,674.76,28.76
$auto$insbuf.cc:97:execute$11904,74,34.06,10.44
$auto$insbuf.cc:97:execute$11905,1773,21.56,16.880000000000003
$auto$insbuf.cc:97:execute$11906,1165,688.56,10.44
$auto$insbuf.cc:97:execute$11907,128797,5.46,877.68
$auto$insbuf.cc:97:execute$11908,148087,993.96,991.04
$auto$insbuf.cc:97:execute$11909,2936,675.22,25.04
$auto$insbuf.cc:97:execute$11910,2938,677.06,25.04
$auto$insbuf.cc:97:execute$11911,1808,14.66,25.04
$auto$insbuf.cc:97:execute$11912,4674,672.46,31.48
$auto$insbuf.cc:97:execute$11913,76,37.74,10.44
$auto$insbuf.cc:97:execute$11914,3534,16.96,28.76
$auto$insbuf.cc:97:execute$11915,2897,674.76,16.880000000000003
$auto$insbuf.cc:97:execute$11916,2927,683.96,22.32
$auto$insbuf.cc:97:execute$11917,3560,18.8,34.2
$auto$insbuf.cc:97:execute$11918,159,114.26,5.0
$auto$insbuf.cc:97:execute$11919,2923,676.6,22.32
$auto$insbuf.cc:97:execute$11920,5301,21.56,40.64
$auto$insbuf.cc:97:execute$11921,1785,18.8,19.6
$auto$insbuf.cc:97:execute$11922,31,17.42,10.44
$auto$insbuf.cc:97:execute$11923,4659,670.16,28.76
$auto$insbuf.cc:97:execute$11924,1797,19.26,22.32
$auto$insbuf.cc:97:execute$11925,2926,681.66,22.32
$auto$insbuf.cc:97:execute$11926,1771,18.8,16.880000000000003
$auto$insbuf.cc:97:execute$11927,31667,1003.16,206.96
$auto$insbuf.cc:97:execute$11977,14138,7.3,105.48
$auto$insbuf.cc:97:execute$11978,2,7.76,5.0
$auto$insbuf.cc:97:execute$11979,52,38.66,5.0
$auto$insbuf.cc:97:execute$11980,51,36.36,5.0
$auto$insbuf.cc:97:execute$11981,66,38.66,7.72
$auto$insbuf.cc:97:execute$11982,1091,659.96,5.0
$auto$insbuf.cc:97:execute$11983,1090,657.66,5.0
$auto$insbuf.cc:97:execute$11984,1287,774.36,5.0
$auto$insbuf.cc:97:execute$11985,1545,893.9,10.44
$auto$insbuf.cc:97:execute$11986,3440,996.26,16.880000000000003
$auto$insbuf.cc:97:execute$11987,30031,12.36,215.12
$auto$insbuf.cc:97:execute$11988,3468,1003.16,22.32
$auto$insbuf.cc:97:execute$11989,19319,1003.16,123.8
$auto$insbuf.cc:97:execute$11990,33439,991.2,221.56
